local_date,home_team,away_team,venue,city,temp_c,feels_like_c,precip_mm,humidity_pct,wind_kmh,weather_desc,first_half_mult,second_half_mult,weather_label
2026-06-11,Mexico,South Africa,"Estadio Azteca , Mexico City",Mexico City,23.2,23.2,0.2,49.0,1.2,Clear,1.0,1.0,normal conditions
2026-06-11,South Korea,Czechia,"Estadio Akron , Zapopan",Guadalajara,24.0,24.0,0.0,67.0,7.9,Clear,1.0,1.0,normal conditions
2026-06-12,Canada,Bosnia and Herzegovina,"BMO Field , Toronto",Toronto,26.1,26.1,0.0,44.0,19.3,Clear,1.0,1.0,normal conditions
2026-06-12,United States,Paraguay,"SoFi Stadium , Inglewood",Los Angeles,26.8,26.8,0.0,49.0,10.5,Clear,1.0,1.0,normal conditions
2026-06-13,Qatar,Switzerland,"Levi's Stadium , Santa Clara",San Jose,27.9,27.9,0.0,37.0,7.0,Clear,1.0,1.0,normal conditions
2026-06-13,Brazil,Morocco,"MetLife Stadium , East Rutherford",New York,31.9,31.9,0.0,26.0,8.7,Hot,1.0,0.93,hot 32C
2026-06-13,Haiti,Scotland,"Gillette Stadium , Foxborough",Boston,27.7,27.7,0.0,36.0,2.4,Clear,1.0,1.0,normal conditions
2026-06-13,Australia,Turkiye,"BC Place , Vancouver",Vancouver,22.5,22.5,0.0,46.0,11.6,Clear,1.0,1.0,normal conditions
2026-06-14,Germany,Curacao,"NRG Stadium , Houston",Houston,29.6,29.6,0.4,72.0,13.1,Hot,1.0,0.93,hot 30C
2026-06-14,Netherlands,Japan,"AT&T Stadium , Arlington",Dallas,28.5,28.5,0.0,69.0,12.1,Hot,1.0,0.93,hot 28C
2026-06-14,Ivory Coast,Ecuador,"Lincoln Financial Field , Philadelphia",Philadelphia,28.5,28.5,0.0,46.0,17.6,Hot,1.0,0.93,hot 28C
2026-06-14,Sweden,Tunisia,"Estadio BBVA , Guadalupe",Monterrey,25.5,25.5,0.2,85.0,4.4,Clear,1.0,0.96,high humidity 85%
2026-06-15,Spain,Cape Verde,"Mercedes-Benz Stadium , Atlanta",Atlanta,26.1,26.1,0.0,54.0,11.2,Clear,1.0,1.0,normal conditions
2026-06-15,Belgium,Egypt,"Lumen Field , Seattle",Seattle,27.5,27.5,0.0,38.0,1.8,Clear,1.0,1.0,normal conditions
2026-06-15,Saudi Arabia,Uruguay,"Hard Rock Stadium , Miami Gardens",Miami,31.6,31.6,0.0,58.0,17.7,Hot,1.0,0.93,hot 32C
2026-06-15,Iran,New Zealand,"SoFi Stadium , Inglewood",Los Angeles,24.2,24.2,0.0,53.0,10.7,Clear,1.0,1.0,normal conditions
2026-06-16,France,Senegal,"MetLife Stadium , East Rutherford",New York,25.5,25.5,0.0,31.0,6.8,Clear,1.0,1.0,normal conditions
